0,0.0,July-2015
0,0.0,July-2015
0,75.0,July-2015
0,75.0,July-2015
0,196.0,July-2015
0,196.0,July-2015
0,214.0,July-2015
0,206.0,July-2015
1,246.0,July-2015
1,316.5,July-2015
1,492.0,July-2015
0,580.0,July-2015
0,388.0,July-2015
0,619.08,July-2015
0,378.84,July-2015
0,388.0,July-2015
0,390.0,July-2015
0,88.2,July-2015
0,107.42,July-2015
0,612.0,July-2015
0,486.45000000000005,July-2015
0,508.02,July-2015
0,508.02,July-2015
0,598.02,July-2015
0,664.65,July-2015
0,445.2,July-2015
0,556.5,July-2015
1,749.0,July-2015
0,658.0,July-2015
0,611.1,July-2015
0,868.0,July-2015
0,957.9,July-2015
1,1083.0,July-2015
0,393.0,July-2015
1,435.2,July-2015
1,435.2,July-2015
0,392.0,July-2015
0,435.2,July-2015
1,435.2,July-2015
0,685.0,July-2015
1,589.05,July-2015
0,397.5,July-2015
0,615.0,July-2015
0,685.0,July-2015
0,774.9,July-2015
1,1071.0,July-2015
0,412.65000000000003,July-2015
0,580.16,July-2015
0,576.4499999999999,July-2015
0,835.4499999999999,July-2015
0,473.06,July-2015
0,616.11,July-2015
0,1549.8,July-2015
0,88.2,July-2015
0,147.0,July-2015
0,107.0,July-2015
0,147.0,July-2015
0,117.9,July-2015
0,123.0,July-2015
0,196.0,July-2015
0,235.62,July-2015
0,270.0,July-2015
0,399.0,July-2015
0,176.85000000000002,July-2015
1,408.99,July-2015
0,306.0,July-2015
0,221.0,July-2015
0,194.0,July-2015
1,220.6,July-2015
1,164.0,July-2015
1,194.0,July-2015
1,147.6,July-2015
0,183.0,July-2015
0,229.0,July-2015
1,220.6,July-2015
0,272.70000000000005,July-2015
1,369.0,July-2015
0,488.0,July-2015
0,442.8,July-2015
0,686.88,July-2015
0,530.5500000000001,July-2015
1,556.8,July-2015
0,556.8,July-2015
1,1240.0,July-2015
0,1111.5,July-2015
0,1886.2199999999998,July-2015
0,1294.3,July-2015
1,2283.33,July-2015
0,73.8,July-2015
0,98.0,July-2015
0,131.0,July-2015
0,123.0,July-2015
0,94.71,July-2015
0,123.0,July-2015
1,246.0,July-2015
1,147.6,July-2015
1,819.0,July-2015
0,1375.78,July-2015
0,695.1,July-2015
0,636.65,July-2015
